Region,Country,Crop,Latitude,Longitude,Year,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,ALLSKY_SFC_SW_DWN,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
İstanbul,Türkiye,Wheat,41.2506,29.5094,2023,16.1826301369863,17.175780821917808,15.232109589041096,80.47501369863014,2.0493698630136987,4.77013698630137,14.233616438356163,16.69222602739726,16.69216894977169,0.2880074908675797,0.2862997442922371
İstanbul,Türkiye,Barley,41.38,29.1721,2023,16.1826301369863,17.175780821917808,15.232109589041096,80.47501369863014,2.0493698630136987,4.77013698630137,14.233616438356163,16.695958904109588,16.69623287671233,0.2859113162100453,0.2851649440639269
İstanbul,Türkiye,Maize (corn),40.8898,29.967,2023,14.77317808219178,19.95895890410959,10.612383561643837,78.87109589041096,2.71572602739726,2.27627397260274,14.410082191780822,15.832728310502285,15.811746575342466,0.2840115296803653,0.2722778538812785
İstanbul,Türkiye,Apples,40.3204,29.8792,2023,13.45227397260274,19.63438356164384,8.57435616438356,75.70528767123288,2.2443835616438355,1.4284931506849314,14.410082191780822,14.027728310502283,13.990776255707765,0.268820205479452,0.2540414383561644
İstanbul,Türkiye,Olives,40.7145,29.8818,2023,13.45227397260274,19.63438356164384,8.57435616438356,75.70528767123288,2.2443835616438355,1.4284931506849314,14.410082191780822,16.735787671232877,16.711438356164383,0.3157657534246575,0.3121865296803653
İstanbul,Türkiye,Hazelnuts,41.4024,29.8836,2023,16.270794520547945,17.118164383561645,15.485643835616438,80.94446575342465,2.1526575342465755,4.818849315068493,14.233616438356163,16.74675799086758,16.746723744292236,0.2983388789954334,0.2946727271689495
İstanbul,Türkiye,Watermelons,40.4685,29.5397,2023,15.14345205479452,20.419835616438355,10.864657534246575,74.11128767123287,2.0805753424657536,1.564904109589041,14.410082191780822,15.933344748858447,15.89373287671233,0.2621085616438356,0.2468813926940639
İstanbul,Türkiye,Walnuts,41.2318,30.1976,2023,14.77317808219178,19.95895890410959,10.612383561643837,78.87109589041096,2.71572602739726,2.27627397260274,14.086849315068491,16.599543378995435,16.599577625570777,0.3073514257990871,0.3049427191780823
İstanbul,Türkiye,Chick peas,40.9581,29.3888,2023,15.991561643835617,19.4653698630137,13.152876712328768,76.96504109589041,2.1113424657534248,2.973945205479452,14.410082191780822,16.458915525114154,16.43642694063927,0.2954030821917808,0.2932139269406392
İstanbul,Türkiye,Lentils,40.8579,30.1743,2023,14.77317808219178,19.95895890410959,10.612383561643837,78.87109589041096,2.71572602739726,2.27627397260274,14.139808219178082,15.861095890410958,15.832488584474886,0.2954715753424657,0.291362100456621
Edirne,Türkiye,Wheat,40.2209,29.3536,2023,11.964520547945206,18.124438356164383,6.9670136986301365,73.97230136986302,1.91786301369863,2.01986301369863,14.410082191780822,15.174189497716895,15.106883561643835,0.3114497716894977,0.3116179223744292
Edirne,Türkiye,Barley,41.4179,29.3144,2023,16.1826301369863,17.175780821917808,15.232109589041096,80.47501369863014,2.0493698630136987,4.77013698630137,14.233616438356163,16.73332191780822,16.733333333333334,0.2882121563926937,0.2846830216894975
Edirne,Türkiye,Maize (corn),40.8388,29.4491,2023,15.991561643835617,19.4653698630137,13.152876712328768,76.96504109589041,2.1113424657534248,2.973945205479452,14.410082191780822,16.546278538812786,16.563550228310504,0.3058131278538812,0.3116171232876712
Edirne,Türkiye,Apples,41.0985,30.1436,2023,14.77317808219178,19.95895890410959,10.612383561643837,78.87109589041096,2.71572602739726,2.27627397260274,14.086849315068491,16.46533105022831,16.434737442922373,0.3087926940639269,0.3101936073059361
Edirne,Türkiye,Olives,40.8081,29.0755,2023,15.991561643835617,19.4653698630137,13.152876712328768,76.96504109589041,2.1113424657534248,2.973945205479452,14.410082191780822,17.017180365296802,17.017214611872145,0.286586085616438,0.2862141381278538
Edirne,Türkiye,Hazelnuts,41.3377,29.0145,2023,16.171232876712327,17.45468493150685,15.004657534246576,79.81789041095891,1.989945205479452,4.813671232876712,14.233616438356163,16.45374429223744,16.4537899543379,0.2853998447488581,0.2840120582191781
Edirne,Türkiye,Watermelons,41.0514,29.6669,2023,15.991561643835617,19.4653698630137,13.152876712328768,76.96504109589041,2.1113424657534248,2.973945205479452,14.233616438356163,16.01310502283105,15.989383561643836,0.3068219178082191,0.3024631278538813
Edirne,Türkiye,Walnuts,40.6284,29.5514,2023,15.14345205479452,20.419835616438355,10.864657534246575,74.11128767123287,2.0805753424657536,1.564904109589041,14.410082191780822,15.324908675799088,15.303584474885843,0.2750503424657534,0.2613066210045662
Edirne,Türkiye,Chick peas,41.0443,28.9148,2023,16.383808219178082,19.76391780821918,13.450958904109587,75.20268493150685,1.7684931506849315,4.211424657534247,14.266602739726029,17.304280821917807,17.25687214611872,0.2625124429223744,0.2630310502283105
Edirne,Türkiye,Lentils,40.362,30.0007,2023,13.45227397260274,19.63438356164384,8.57435616438356,75.70528767123288,2.2443835616438355,1.4284931506849314,14.139808219178082,16.86216894977169,16.840034246575343,0.2707342465753424,0.2603646118721461
Kırklareli,Türkiye,Wheat,40.4694,30.1217,2023,13.45227397260274,19.63438356164384,8.57435616438356,75.70528767123288,2.2443835616438355,1.4284931506849314,14.139808219178082,15.853139269406393,15.8248401826484,0.3019986301369863,0.2961813926940639
Kırklareli,Türkiye,Barley,40.2915,29.3756,2023,15.14345205479452,20.419835616438355,10.864657534246575,74.11128767123287,2.0805753424657536,1.564904109589041,14.410082191780822,14.123458904109588,14.069006849315068,0.2903498858447488,0.2815977168949771
Kırklareli,Türkiye,Maize (corn),40.2781,29.7751,2023,13.45227397260274,19.63438356164384,8.57435616438356,75.70528767123288,2.2443835616438355,1.4284931506849314,14.410082191780822,16.898721461187215,16.872260273972604,0.2661626712328767,0.2519683789954338
Kırklareli,Türkiye,Apples,40.5459,30.1929,2023,13.45227397260274,19.63438356164384,8.57435616438356,75.70528767123288,2.2443835616438355,1.4284931506849314,14.139808219178082,16.003333333333334,15.97511415525114,0.3019986301369863,0.2961813926940639
Kırklareli,Türkiye,Olives,41.152,29.0035,2023,16.383808219178082,19.76391780821918,13.450958904109587,75.20268493150685,1.7684931506849315,4.211424657534247,14.233616438356163,15.659668949771689,15.650639269406392,0.2779728310502283,0.2751232876712329
Kırklareli,Türkiye,Hazelnuts,40.9977,29.8681,2023,14.77317808219178,19.95895890410959,10.612383561643837,78.87109589041096,2.71572602739726,2.27627397260274,14.410082191780822,15.949760273972602,15.93843607305936,0.3227722602739726,0.3188028538812785
Kırklareli,Türkiye,Watermelons,40.6551,30.049,2023,13.45227397260274,19.63438356164384,8.57435616438356,75.70528767123288,2.2443835616438355,1.4284931506849314,14.139808219178082,16.535787671232878,16.511438356164383,0.3157657534246575,0.3121865296803653
Kırklareli,Türkiye,Walnuts,40.9038,29.2112,2023,15.991561643835617,19.4653698630137,13.152876712328768,76.96504109589041,2.1113424657534248,2.973945205479452,14.410082191780822,16.59502283105023,16.571255707762557,0.289268607305936,0.2931934931506849
Kırklareli,Türkiye,Chick peas,41.311,29.4514,2023,16.1826301369863,17.175780821917808,15.232109589041096,80.47501369863014,2.0493698630136987,4.77013698630137,14.233616438356163,16.69222602739726,16.69216894977169,0.2922408367579907,0.2891458207762554
Kırklareli,Türkiye,Lentils,40.5078,28.8011,2023,16.289178082191782,19.46717808219178,13.53441095890411,74.66104109589041,1.9884109589041097,3.111205479452055,14.761342465753424,17.897785388127854,17.86486301369863,0.2780762557077625,0.2813555936073059
Tekirdağ,Türkiye,Wheat,40.5371,29.141,2023,15.14345205479452,20.419835616438355,10.864657534246575,74.11128767123287,2.0805753424657536,1.564904109589041,14.410082191780822,16.531495433789953,16.481655251141554,0.2880711187214612,0.280383904109589
Tekirdağ,Türkiye,Barley,40.4946,30.1055,2023,13.45227397260274,19.63438356164384,8.57435616438356,75.70528767123288,2.2443835616438355,1.4284931506849314,14.139808219178082,15.853139269406393,15.8248401826484,0.3019986301369863,0.2961813926940639
Tekirdağ,Türkiye,Maize (corn),40.3159,29.0334,2023,16.289178082191782,19.46717808219178,13.53441095890411,74.66104109589041,1.9884109589041097,3.111205479452055,14.410082191780822,16.31662100456621,16.29271689497717,0.2798196347031964,0.2782562785388128
Tekirdağ,Türkiye,Apples,41.1873,29.0476,2023,16.383808219178082,19.76391780821918,13.450958904109587,75.20268493150685,1.7684931506849315,4.211424657534247,14.233616438356163,15.659668949771689,15.650639269406392,0.2779728310502283,0.2751232876712329
Tekirdağ,Türkiye,Olives,41.0076,29.9184,2023,14.77317808219178,19.95895890410959,10.612383561643837,78.87109589041096,2.71572602739726,2.27627397260274,14.233616438356163,15.949760273972602,15.93843607305936,0.3227722602739726,0.3188028538812785
